k,P_k
0.002704959730463137,0.5260488160239095
0.0028660676169482502,0.5517031221953811
0.0030367711180354605,0.5780650475978212
0.0032176417502507355,0.6050596997107147
0.0034092850697468144,0.6325941133765403
0.0036123426997094303,0.6605556159825771
0.003827494478516315,0.6888103966682004
0.004055460735840828,0.7172023960678631
0.004297004704320844,0.745552650684045
0.004552935074866948,0.7736592393153408
0.004824108704165373,0.8012979850330032
0.005111433483440166,0.828224061612252
0.005415871378079476,0.854174634655745
0.005738441648302392,0.8788726319636013
0.006080224261649427,0.9020316832614447
0.00644236350872137,0.9233621964116719
0.006826071834272393,0.9425784486069158
0.007232633896483534,0.9594064728423027
0.007663410868007463,0.9735924214146622
0.008119844993184008,0.9849110010457967
0.00860346441668451,0.99317351134494
0.009115888299750819,0.9982349916927903
0.009658832241158708,1.0
0.010234114021054537,0.998426613538647
0.010843659686896108,0.993528353750288
0.011489510001873097,0.9853738832126366
0.01217382727739662,0.9740844876924307
0.012898902612533094,0.9598295201182447
0.013667163564620072,0.9428201271322969
0.014481182276745346,0.9233016867116726
0.015343684089300131,0.9015454471131756
0.016257556664437952,0.8778398700878758
0.017225859653987874,0.852482148778055
0.018251834943190444,0.8257703021917423
0.01933891750455232,0.7979961560710062
0.020490746898158482,0.7694394175448418
0.021711179456945052,0.7403629501371684
0.023004301197729192,0.7110092657721541
0.024374441501222217,0.6815981773643016
0.025826187606826773,0.6523255021106492
0.02736439997074672,0.6233626716742213
0.02899422853882878,0.5948570890317773
0.03072112998861759,0.5669330696528013
0.0325508859983506,0.5396932132236848
0.0344896226040576,0.5132200677642025
0.03654383070957258,0.4875779675769935
0.03872038781812557,0.4628149475181584
0.04102658105827194,0.43896465673377677
0.043470131581250265,0.4160482140439113
0.04605922041145108,0.3940759638616207
0.04880251583654434,0.37304910560125
0.05170920242896761,0.3529611809381075
0.05478901179593945,0.33379941219996806
0.058052255160949015,0.3155458918779713
0.06150985788580504,0.2981786280678832
0.06517339604882427,0.2816724539272586
0.0690551352016233,0.265999811275736
0.073168071434272,0.2511314195563734
0.07752597488629465,0.23703684175692702
0.0821434358491943,0.2236849587608421
0.08703591361485166,0.21104436311871386
0.09221978823334331,0.19908368252730782
0.09771241535346502,0.18777184247006842
0.10353218432956626,0.17707827658075573
0.1096985797892384,0.16697309239073208
0.1162322468679853,0.15742719924507317
0.12315506032928261,0.14841240434556016
0.13049019780144028,0.13990148211315867
0.13826221737646563,0.13186822136557744
0.14649713983072862,0.12428745417896869
0.1552225357427048,0.11713506974562954
0.16446761779946645,0.11038801604837058
0.17426333860096507,0.10402429174246859
0.18464249428955445,0.09802293026253789
0.19563983435170648,0.09236397784874188
0.2072921779595372,0.08702846690901456
0.2196385372416547,0.08199838589613652
0.23272024789604095,0.07725664667568638
0.2465811075822604,0.07278705018856355
0.2612675225563329,0.06857425106588251
0.27682866303920667,0.06460372173092727
0.29331662783900453,0.0608617164193171
0.3107866187782014,0.05733523546173402
0.3292971255097151,0.054011990101040394
0.34891012134067734,0.05088036805522524
0.3696912707195028,0.047929399987518426
0.39171014908092605,0.04514872700360656
0.41504047578504766,0.04252856926181928
0.4397603609302721,0.040059695754259474
0.4659525668664682,0.03773339529413839
0.4937047852839004,0.03554144872620458
0.5231099308056264,0.03347610236240776
0.5542664520663108,0.03153004263321509
0.5872786613189482,0.029696371935783738
0.6222570836730231,0.02796858565306403
0.6593188271333549,0.02634055031249944
0.6985879746785248,0.02480648284899837
0.7401959996915645,0.023360930934027656
0.7842822061337682,0.021998754330802305
0.8309941949353395,0.020715107234447177
0.8804883581643465,0.01950542155553291
0.9329304026284686,0.01836539110542186
0.9884959046625587,0.017290956642295446
1.0473708979594507,0.016278291737492213
1.1097524964120722,0.015323789422795404
1.175849554052158,0.014424049580516142
1.2458833642950082,0.013575867039578518
1.3200884008314195,0.012776220342288916
1.3987131026472386,0.01202226114803928
1.4820207057988601,0.011311304241826498
1.5702901247293775,0.010640818117157322
1.6638168860761307,0.010008416104633364
1.762914118095948,0.009411848019271687
1.8679135990207847,0.008848992301404448
1.9791668678535574,0.008317848627818526
2.097046401323235,0.007816530971639644
2.2219468609395236,0.007343261091340151
2.35428641432242,0.006896362431154025
