z,Q,w_eff
9.417766e-01,-2.711042e+01,-9.102273e-01
9.726934e-01,-2.771280e+01,-9.102380e-01
1.004625e+00,-2.834396e+01,-9.102494e-01
1.037605e+00,-2.900537e+01,-9.102615e-01
1.071668e+00,-2.969861e+01,-9.102745e-01
1.106848e+00,-3.042530e+01,-9.102884e-01
1.143184e+00,-3.118718e+01,-9.103032e-01
1.180713e+00,-3.198607e+01,-9.103190e-01
1.219473e+00,-3.282387e+01,-9.103359e-01
1.259506e+00,-3.370260e+01,-9.103540e-01
1.300854e+00,-3.462436e+01,-9.103734e-01
1.343558e+00,-3.559138e+01,-9.103942e-01
1.387665e+00,-3.660598e+01,-9.104165e-01
1.433219e+00,-3.767062e+01,-9.104403e-01
1.480269e+00,-3.878787e+01,-9.104659e-01
1.528864e+00,-3.996042e+01,-9.104934e-01
1.579053e+00,-4.119111e+01,-9.105229e-01
1.630891e+00,-4.248291e+01,-9.105546e-01
1.684430e+00,-4.383894e+01,-9.105887e-01
1.739726e+00,-4.526247e+01,-9.106254e-01
1.796838e+00,-4.675691e+01,-9.106648e-01
1.855825e+00,-4.832585e+01,-9.107073e-01
1.916748e+00,-4.997303e+01,-9.107530e-01
1.979672e+00,-5.170237e+01,-9.108023e-01
2.044661e+00,-5.351797e+01,-9.108554e-01
2.111783e+00,-5.542411e+01,-9.109126e-01
2.181109e+00,-5.742522e+01,-9.109744e-01
2.252711e+00,-5.952596e+01,-9.110411e-01
2.326663e+00,-6.173115e+01,-9.111132e-01
2.403043e+00,-6.404581e+01,-9.111910e-01
2.481930e+00,-6.647512e+01,-9.112751e-01
2.563407e+00,-6.902448e+01,-9.113661e-01
2.647559e+00,-7.169945e+01,-9.114645e-01
2.734474e+00,-7.450573e+01,-9.115710e-01
2.824241e+00,-7.744924e+01,-9.116863e-01
2.916956e+00,-8.053598e+01,-9.118112e-01
3.012714e+00,-8.377211e+01,-9.119465e-01
3.111616e+00,-8.716388e+01,-9.120931e-01
3.213764e+00,-9.071760e+01,-9.122521e-01
3.319266e+00,-9.443962e+01,-9.124245e-01
3.428231e+00,-9.833627e+01,-9.126117e-01
3.540774e+00,-1.024138e+02,-9.128148e-01
3.657011e+00,-1.066783e+02,-9.130353e-01
3.777064e+00,-1.111357e+02,-9.132748e-01
