Om,n,beta,H0,log_posterior
0.26896128953652665,0.3304312057786868,0.5020148427510447,67.84290742724492,-16.564041126457198
0.3083920939499457,0.2708378072066232,0.9203125221251993,68.04172380070926,-15.749662564933354
0.31158995236392456,0.1784092886792255,0.08508037338241795,67.10392045084357,-16.090979508398256
0.24699937610222525,0.19919686669422948,0.006945692512442675,68.17424043038953,-15.205220004053947
0.2839978688362609,0.26472655974600934,0.3746090672824305,68.60919030308669,-17.217269522256075
0.27520971797690164,0.22536277248772402,0.8161022728712255,69.90180793651082,-17.14633811840642
0.2843841861101289,0.3114894566866975,0.3757490753782505,67.28636969492044,-15.770101385876385
0.3100497067545653,0.3183547447326975,0.7320562264602247,67.66936607977978,-14.930783867320265
0.2928792364431909,0.10955883749942541,0.322203995197423,69.14287158858453,-15.060037878404328
0.23885996035621082,0.6483953454414275,0.641802374604635,65.50693678618667,-20.305858292126626
0.28002795838991223,0.22405878010742897,0.9523212759232139,69.75628207233441,-16.142051866651503
0.30766021627317547,0.4883747720393396,0.6617714574898645,65.90475495952596,-17.03166894084056
0.3092379417407446,0.1467651335180425,0.7563926270758174,69.41246616438872,-15.243126123474642
0.29392788811728976,0.06301790776258953,0.6294986290986841,70.69902653591024,-16.83993649423471
0.31614845844959355,0.1883074617049707,0.4922257907727016,68.35788353746086,-15.116935027604647
0.3019336302480717,0.020041086995534238,0.7502115950801922,71.03684831225651,-17.707329413739195
0.300971617553367,0.0074144816984405,0.41680024506952457,70.0765367653104,-16.091221723046026
0.25944615782002883,0.09121176536191833,0.03227317882559444,69.73597919415438,-16.282634136492803
0.2808726754311071,0.2898307535533531,0.32005456666301735,67.46030202862853,-15.614830282986068
0.2973162253813761,0.3561573412047354,0.6840919723273848,67.96458237818324,-16.77203262920154
0.2700033144592918,0.29101126332094585,0.3104650619725551,67.48263704172898,-17.6802996575469
0.29603151790772525,0.22844708910431005,0.8902091799318573,68.52713766831417,-17.571875477497674
0.2794997329159534,0.09490184636933155,0.07440278961277304,69.10553112064125,-14.452757843365328
0.2971568885954358,0.19345134777597128,0.8759393000704098,69.00857675425213,-16.018871481894355
0.27853270277303394,0.3722278720933646,0.5892575492123655,67.61788814772659,-15.309444029560863
0.28614500646402635,0.3961146176775379,0.7503974687735266,67.06159642909688,-16.854827927491137
0.288205523258992,0.06784942290107332,0.09962596038879551,68.87631235668587,-14.809433034351803
0.2716050523441505,0.19851930859053532,0.13080084677118095,68.1481422364324,-14.773643353053835
0.2842086488554171,0.15761370681525355,0.18729033406711415,68.50162693954151,-14.54360227038671
0.2907746535089699,0.10317968299586971,0.330292845252456,69.55912379154191,-14.842950467286334
0.27436510615946164,0.4628570292977899,0.3743743875054656,65.89554949234616,-17.227136599314615
0.28378975770684145,0.36762162922794495,0.8177704043163309,67.9784848258037,-15.043765979936325
0.2842851844049367,0.07347064930242753,0.019635450471859106,68.47955864915474,-14.51805033486507
0.28328445018105985,0.370527596846129,0.8054253385258383,67.88641942049486,-15.057499739762129
0.2887598376798227,0.13644521520022454,0.9314708235509344,70.71479980096655,-18.505330143083654
0.31985484303316014,0.2136699074423713,0.3156786366637168,67.22107694531867,-16.443951765196644
0.2879061080021232,0.1572575275617673,0.37899654518609394,69.24510696523828,-14.854019504630168
0.29798148184484563,0.40092426876439835,0.9948830286763846,67.3927293063919,-14.936274679206967
0.3034260028593177,0.2210115676724264,0.22369123756310963,67.63830097391104,-14.962364707540996
0.340697634711084,0.12718848347698306,0.8504142686371793,69.03712941673774,-19.346399142677853
0.3216960035358364,0.06793977154828881,0.5144882381074176,69.67934578913759,-17.520083011445056
0.26931238397036644,0.06464415095496268,0.1738667606763421,70.29442645249246,-16.298041464473037
0.33189447183751114,0.13027838027721755,0.3029173004395176,67.71212188944463,-17.114639433842612
0.2916810463209047,0.25435380864096024,0.45068303909101304,68.53662712465068,-15.58266307097966
0.2746698636770931,0.21224847135217445,0.06955869272097026,67.41908909096895,-14.821020458078362
0.2999868874532123,0.01608207363231262,0.16089450445186732,69.52126363942908,-14.712132549192729
0.30100835490063477,0.04574524211536785,0.2592378801201578,69.67898913456425,-14.91272799894994
0.295611929507536,0.23871044019197876,0.9832554625082677,68.52691025069878,-17.7377462412965
0.27021382992777554,0.6174745475597363,0.913149497459357,65.60766796825662,-17.794433430135545
0.2634369355444934,0.289725651632037,0.22514225437796842,68.04990274775996,-16.42865101544709
0.28968503450715977,0.19471035327442024,0.1667650666412071,67.83555542448333,-14.52794773229612
0.2745145175974123,0.273673274506331,0.03011918520320906,66.1349279217056,-16.908949309366214
0.27971078896626955,0.24536338882856204,0.5087678014699175,68.82103347254143,-15.219290091083357
0.2784326011032899,0.16346116983819664,0.3745596217662004,69.21508609838264,-15.542764894030988
0.29499643182036794,0.14800587856542663,0.36487898582884004,69.02975713584934,-14.562012487644989
0.26816214882798245,0.4888788790298935,0.9040373270931209,67.33618821890491,-16.57703382386983
0.2720342485114047,0.14724938375751917,0.08590671219250456,68.31616160290065,-15.157064702462037
0.24963737981948297,0.6007192278383938,0.8403538934281789,66.14012934032507,-18.39503307364242
0.3041101413187377,0.3301073845256774,0.451937312955977,67.17132037392598,-15.19914563711952
0.29723284251427895,0.11751147876212276,0.1548092468993587,68.50481086933354,-14.32545880515835
0.296525873906278,0.23976724024313617,0.7162631989465695,68.9142537770891,-14.987869311529787
0.29818288789735137,0.399689606194577,0.9958371837796581,67.40287884507775,-14.927016594169883
0.30913501276017974,0.1293331185891183,0.26342873266012473,68.62617143432178,-14.928927916980784
0.2861242386975077,0.034244874942365694,0.4561462930739883,70.56926997568145,-16.21667209754886
0.3192952157051923,0.20598458002177295,0.7368407364161881,68.56631528602118,-15.42797827897463
0.29120835212916574,0.07633353938451143,0.018854805569959165,68.79436613788307,-15.487881740777635
0.34530627157203747,0.10837065643504876,0.5443712229958584,68.45571659492802,-18.728106363554875
0.2869167020197773,0.16071921344521273,0.5936428964676328,69.67232209633278,-15.365706506947829
0.24941992903929433,0.42832207082047696,0.192126999452929,65.97498485931087,-18.08971970607381
0.25497537042078083,0.338432519246492,0.2844642565588432,68.05332091025518,-18.31165637537858
0.29460089580340587,0.05862969622507519,0.1891594237787395,69.38037903758871,-14.522042365665438
0.2941307187530637,0.27993023844883974,0.9101721712071458,68.64409423888476,-14.71508833304041
0.3159006384366342,0.17229347687780217,0.5574025644762348,68.76130234100148,-15.447334985856184
0.27595889053574285,0.4778748413099251,0.5941497842302219,67.06889987465834,-19.01275163454694
0.2743881944386305,0.20449576405549677,0.06515686311422642,67.99383055701315,-15.716987508195357
0.24190100325539962,0.27764999373046195,0.033182153273968056,67.13498293180426,-15.864269397808329
0.2903169020350458,0.46468571771060035,0.6276182874256979,66.71212448326334,-16.580461594167026
0.2435402725807866,0.15670246595054757,0.03006369978877277,69.30618278708397,-17.373406645481488
0.3087982987814039,0.015595829525644644,0.21480756994678818,69.52714121878218,-15.065107531752172
0.2832859082069349,0.2941202650201541,0.5814152534098548,67.89887102944353,-16.547905421782975
0.271194878679336,0.1381681918966412,0.05048328001330349,68.32962649653243,-14.529222578953657
0.2702607643706207,0.48653505729061797,0.9195514793369708,67.48275144585935,-17.125610223491776
0.2774826423319741,0.1883245747582197,0.12035079092388679,68.33810288150312,-14.909791456703042
0.2876956654478035,0.21661978565293238,0.041927929126725744,67.13411996155224,-15.721986666882556
0.27650820607177096,0.4109838611602856,0.9575812430696766,68.4759624293483,-19.132008156725355
0.28573426368817223,0.506385663825626,0.8642883818134576,66.65527833970006,-15.996424715317437
0.298921861789363,0.1382429852838109,0.2409582035420266,68.47868353090578,-14.558996130714828
0.2985322834972331,0.11969408956256061,0.48841688812648065,69.3131192345005,-15.03080741466407
0.29284199138448475,0.30501819883165465,0.6904484439631533,68.11480725577388,-14.659371569522541
0.278638632172068,0.17324283249387493,0.3052764110332415,69.18915382886098,-15.238948307431462
0.32969004534685364,0.029541518217156282,0.5966583787426764,69.31058876217938,-17.101856260107166
0.2756454877157352,0.10248101770776358,0.5324487864563592,70.45008047137377,-16.82494748208886
0.26117705156426774,0.23023687292406636,0.13323734893325825,67.95530767880274,-15.687515470027375
0.31780967712099556,0.36256509115375146,0.5293755685131968,66.40946597684794,-16.88080560829239
0.28113346927669625,0.0361504674651225,0.14813661263729377,69.90658403557347,-14.977811631584053
0.2904584735756634,0.3070457703497502,0.8439564070900001,68.21775439370474,-15.101622203396635
0.29510983414121206,0.44530476491451065,0.8587144676532481,67.2924146173472,-16.384563059134454
0.30512420652292616,0.2246255461016908,0.26416124472001606,67.80181314273662,-15.207479191165964
0.3036764889606326,0.19817020411681519,0.3799334013655689,68.42997828901895,-14.764261149166035
0.2596042751407572,0.322366002104609,0.11564454001790067,66.83832273650883,-16.001375717194787
0.2856053601149688,0.3365175487239279,0.2545782599788461,66.9420634167552,-15.597246953015217
0.24218181186742457,0.14193130792571568,0.020691737817770478,69.16363028910288,-16.15849704949333
0.3030672210962509,0.1772226798408407,0.612072158331817,68.86331548277215,-14.83188590635445
0.28080752568831674,0.18907806729743165,0.6363035565042375,69.3164007391468,-16.181122678095665
0.28560578884511795,0.40861755376504566,0.6067234730379866,66.77442423742117,-16.37099161641483
0.2883499180627212,0.21397859281431095,0.5019761953315373,68.89663248547525,-14.799026448454656
0.28339582953726616,0.07837689526958697,0.03142443841625875,68.97983607717228,-14.537891500076958
0.28895951858817476,0.19353524602247474,0.13474373409670679,67.72280897299638,-14.526705098085236
0.274710859742661,0.22777906821224062,0.5209736933183413,68.86891841989886,-16.31637154402015
0.29235243316738985,0.32595702858289405,0.7817166401723746,68.34254944173944,-15.30220533149635
0.30329932971431023,0.12011988198484386,0.10827126401064524,68.45560694481071,-15.760677449889357
0.3121496095067661,0.35712841107125093,0.7636370337962924,67.02780766426132,-15.852336062933961
0.3082818300592284,0.1515478387921696,0.4694176881846313,68.82055008849252,-14.754033173959167
0.28602836621172456,0.28454953783929726,0.6297843998857104,68.43334131103296,-14.853775412908817
0.3384964222514374,0.17917372709970977,0.9239012371289447,67.96444105578317,-18.50678185831434
0.30116072948210565,0.029031930195073385,0.2536752036669343,69.69652094018898,-14.893885380553073
0.26009425898180366,0.3173286599507974,0.041719877383013415,66.3936152344798,-16.526133487696885
0.2800300256980546,0.4505534355200641,0.3401465595850522,66.02661118181148,-16.88234659244843
0.3174207329608123,0.28786783657230725,0.4979397971198851,67.6775847305943,-16.748786355841478
0.3058579221567779,0.016710523631433827,0.030366184117545048,68.32362367561798,-16.746432631944582
0.2775936739944694,0.3801789565916228,0.986123897060674,68.51599111716101,-16.51253121724643
0.3159385808936994,0.17971652823089102,0.4865046992939665,68.69787429268071,-16.136157645909094
0.27299690176963903,0.30712907750428103,0.115229660916778,66.74207089322101,-15.666344016231063
