n,beta,viable,reason,z_t,Qtilde_max,Qtilde_min,E2_min
0.15666666666666668,0.0001539926526059492,True,viable,1.0571545549915085,-0.08027794770540395,-1.494926294948206,0.9999999999999999
0.15666666666666668,0.00031622776601683794,True,viable,1.0566856718695605,-0.08025300271275791,-1.4185612484775196,0.9999999999999999
0.15666666666666668,0.0006493816315762113,True,viable,1.055724904003759,-0.08020180290598926,-1.2671866260658333,0.9999999999999999
0.15666666666666668,0.001333521432163324,True,viable,1.0537901706506214,-0.0800967696373408,-0.9778890566338336,0.9999999999999999
0.15666666666666668,0.0027384196342643613,True,viable,1.0498708284677565,-0.07988153054240943,-0.6189432423143646,0.9999999999999999
0.15666666666666668,0.005623413251903491,False,Q_positive,,,,
0.15666666666666668,0.011547819846894581,False,Q_positive,,,,
0.15666666666666668,0.023713737056616554,False,Q_positive,,,,
0.15666666666666668,0.04869675251658631,False,Q_positive,,,,
0.15666666666666668,0.1,False,Q_positive,,,,
0.18333333333333335,1e-06,True,viable,1.1489174823276185,-0.08987502705271429,-1.9766924396435772,0.9999999999999999
0.18333333333333335,2.053525026457146e-06,True,viable,1.1489139283630179,-0.08987487205090104,-1.9761764005864322,0.9999999999999999
0.18333333333333335,4.216965034285822e-06,True,viable,1.1489066303200448,-0.08987455375182236,-1.9751169200980603,0.9999999999999999
0.18333333333333335,8.659643233600654e-06,True,viable,1.1488916440793957,-0.08987390012101634,-1.9729421720185438,0.9999999999999999
0.18333333333333335,1.778279410038923e-05,True,viable,1.148860871454698,-0.08987255789200652,-1.9684801558639955,0.9999999999999999
0.18333333333333335,3.651741272548377e-05,True,viable,1.148797687380577,-0.08986980166792516,-1.9593336447949317,0.9999999999999999
0.18333333333333335,7.498942093324559e-05,True,viable,1.1486679726142488,-0.08986414201655939,-1.9406197848170197,0.9999999999999999
0.18333333333333335,0.0001539926526059492,True,viable,1.1484017486082554,-0.08985252114595349,-1.902478330445983,0.9999999999999999
0.18333333333333335,0.00031622776601683794,True,viable,1.1478556761818426,-0.08982866315236634,-1.8253517878583627,0.9999999999999999
0.18333333333333335,0.0006493816315762113,True,viable,1.1467369303850117,-0.08977969442028923,-1.6718845203678887,0.9999999999999999
0.18333333333333335,0.001333521432163324,True,viable,1.1444505614888754,-0.08967923806476294,-1.3763281575843083,0.9999999999999999
0.18333333333333335,0.0027384196342643613,True,viable,1.1398011887005455,-0.08947337819463023,-0.9007020868445033,0.9999999999999999
0.18333333333333335,0.005623413251903491,False,Q_positive,,,,
0.18333333333333335,0.011547819846894581,False,Q_positive,,,,
0.18333333333333335,0.023713737056616554,False,Q_positive,,,,
0.18333333333333335,0.04869675251658631,False,Q_positive,,,,
0.18333333333333335,0.1,False,Q_positive,,,,
0.21000000000000002,1e-06,True,viable,1.2507917700240372,-0.09864906364713463,-2.418659502635036,0.9999999999999999
