z,E,H,Omega_m,Omega_Lambda,Omega_r
2.221741e-02,1.012233e+00,6.987441e+01,3.127451e-01,6.871590e-01,9.590804e-05
2.294676e-02,1.012639e+00,6.990244e+01,3.131637e-01,6.867402e-01,9.610494e-05
2.370006e-02,1.013058e+00,6.993141e+01,3.135961e-01,6.863076e-01,9.630849e-05
2.447809e-02,1.013492e+00,6.996136e+01,3.140426e-01,6.858609e-01,9.651893e-05
2.528166e-02,1.013940e+00,6.999231e+01,3.145038e-01,6.853994e-01,9.673650e-05
2.611161e-02,1.014404e+00,7.002430e+01,3.149802e-01,6.849229e-01,9.696145e-05
2.696881e-02,1.014883e+00,7.005737e+01,3.154722e-01,6.844306e-01,9.719403e-05
2.785414e-02,1.015378e+00,7.009156e+01,3.159804e-01,6.839222e-01,9.743451e-05
2.876854e-02,1.015890e+00,7.012689e+01,3.165052e-01,6.833971e-01,9.768318e-05
2.971296e-02,1.016419e+00,7.016342e+01,3.170473e-01,6.828548e-01,9.794030e-05
3.068838e-02,1.016966e+00,7.020118e+01,3.176071e-01,6.822947e-01,9.820620e-05
3.169582e-02,1.017532e+00,7.024022e+01,3.181854e-01,6.817161e-01,9.848116e-05
3.273634e-02,1.018117e+00,7.028059e+01,3.187826e-01,6.811186e-01,9.876551e-05
3.381101e-02,1.018721e+00,7.032232e+01,3.193994e-01,6.805015e-01,9.905959e-05
3.492096e-02,1.019346e+00,7.036546e+01,3.200365e-01,6.798641e-01,9.936374e-05
3.606735e-02,1.019992e+00,7.041007e+01,3.206945e-01,6.792059e-01,9.967832e-05
3.725137e-02,1.020660e+00,7.045619e+01,3.213740e-01,6.785260e-01,1.000037e-04
3.847427e-02,1.021351e+00,7.050388e+01,3.220758e-01,6.778238e-01,1.003402e-04
3.973730e-02,1.022066e+00,7.055320e+01,3.228007e-01,6.770986e-01,1.006884e-04
4.104181e-02,1.022805e+00,7.060420e+01,3.235493e-01,6.763497e-01,1.010485e-04
4.238913e-02,1.023569e+00,7.065694e+01,3.243224e-01,6.755761e-01,1.014211e-04
4.378069e-02,1.024359e+00,7.071148e+01,3.251209e-01,6.747773e-01,1.018065e-04
4.521792e-02,1.025176e+00,7.076789e+01,3.259456e-01,6.739522e-01,1.022052e-04
4.670234e-02,1.026021e+00,7.082623e+01,3.267972e-01,6.731002e-01,1.026178e-04
4.823549e-02,1.026895e+00,7.088657e+01,3.276768e-01,6.722202e-01,1.030447e-04
4.981898e-02,1.027799e+00,7.094898e+01,3.285851e-01,6.713114e-01,1.034865e-04
5.145444e-02,1.028735e+00,7.101355e+01,3.295232e-01,6.703729e-01,1.039436e-04
5.314359e-02,1.029702e+00,7.108033e+01,3.304919e-01,6.694036e-01,1.044166e-04
5.488820e-02,1.030703e+00,7.114942e+01,3.314924e-01,6.684027e-01,1.049062e-04
5.669007e-02,1.031738e+00,7.122090e+01,3.325255e-01,6.673691e-01,1.054129e-04
5.855110e-02,1.032810e+00,7.129485e+01,3.335924e-01,6.663017e-01,1.059374e-04
6.047322e-02,1.033918e+00,7.137137e+01,3.346941e-01,6.651994e-01,1.064802e-04
6.245845e-02,1.035065e+00,7.145054e+01,3.358318e-01,6.640611e-01,1.070422e-04
6.450884e-02,1.036252e+00,7.153246e+01,3.370066e-01,6.628857e-01,1.076240e-04
6.662655e-02,1.037480e+00,7.161724e+01,3.382197e-01,6.616720e-01,1.082262e-04
6.881377e-02,1.038751e+00,7.170498e+01,3.394724e-01,6.604188e-01,1.088498e-04
7.107280e-02,1.040066e+00,7.179579e+01,3.407658e-01,6.591247e-01,1.094955e-04
7.340598e-02,1.041428e+00,7.188978e+01,3.421013e-01,6.577885e-01,1.101641e-04
7.581576e-02,1.042837e+00,7.198706e+01,3.434803e-01,6.564089e-01,1.108564e-04
7.830465e-02,1.044296e+00,7.208777e+01,3.449040e-01,6.549844e-01,1.115735e-04
8.087525e-02,1.045807e+00,7.219203e+01,3.463739e-01,6.535138e-01,1.123161e-04
8.353023e-02,1.047370e+00,7.229997e+01,3.478915e-01,6.519954e-01,1.130853e-04
8.627237e-02,1.048989e+00,7.241173e+01,3.494583e-01,6.504279e-01,1.138821e-04
8.910453e-02,1.050666e+00,7.252746e+01,3.510757e-01,6.488096e-01,1.147074e-04
9.202967e-02,1.052402e+00,7.264730e+01,3.527454e-01,6.471390e-01,1.155625e-04
9.505083e-02,1.054200e+00,7.277141e+01,3.544690e-01,6.454146e-01,1.164485e-04
9.817117e-02,1.056062e+00,7.289996e+01,3.562481e-01,6.436345e-01,1.173664e-04
1.013939e-01,1.057991e+00,7.303310e+01,3.580845e-01,6.417972e-01,1.183176e-04
1.047225e-01,1.059989e+00,7.317103e+01,3.599799e-01,6.399008e-01,1.193034e-04
1.081604e-01,1.062059e+00,7.331392e+01,3.619362e-01,6.379435e-01,1.203250e-04
1.117111e-01,1.064203e+00,7.346196e+01,3.639550e-01,6.359236e-01,1.213838e-04
1.153783e-01,1.066426e+00,7.361537e+01,3.660384e-01,6.338391e-01,1.224814e-04
1.191660e-01,1.068729e+00,7.377433e+01,3.681883e-01,6.316881e-01,1.236191e-04
1.230780e-01,1.071115e+00,7.393908e+01,3.704065e-01,6.294687e-01,1.247986e-04
1.271184e-01,1.073589e+00,7.410984e+01,3.726952e-01,6.271787e-01,1.260215e-04
1.312915e-01,1.076153e+00,7.428685e+01,3.750565e-01,6.248163e-01,1.272895e-04
1.356015e-01,1.078811e+00,7.447035e+01,3.774923e-01,6.223791e-01,1.286042e-04
1.400531e-01,1.081568e+00,7.466061e+01,3.800048e-01,6.198652e-01,1.299677e-04
1.446507e-01,1.084426e+00,7.485789e+01,3.825963e-01,6.172723e-01,1.313817e-04
1.493993e-01,1.087389e+00,7.506248e+01,3.852689e-01,6.145982e-01,1.328484e-04
1.543038e-01,1.090463e+00,7.527468e+01,3.880249e-01,6.118407e-01,1.343696e-04
1.593694e-01,1.093652e+00,7.549478e+01,3.908666e-01,6.089974e-01,1.359476e-04
1.646012e-01,1.096960e+00,7.572312e+01,3.937963e-01,6.060661e-01,1.375847e-04
1.700047e-01,1.100392e+00,7.596003e+01,3.968164e-01,6.030443e-01,1.392831e-04
1.755856e-01,1.103953e+00,7.620586e+01,3.999292e-01,5.999298e-01,1.410453e-04
1.813498e-01,1.107649e+00,7.646098e+01,4.031371e-01,5.967200e-01,1.428738e-04
1.873032e-01,1.111485e+00,7.672578e+01,4.064426e-01,5.934126e-01,1.447712e-04
1.934520e-01,1.115467e+00,7.700066e+01,4.098481e-01,5.900051e-01,1.467402e-04
1.998026e-01,1.119601e+00,7.728604e+01,4.133560e-01,5.864952e-01,1.487837e-04
