z,delta,f,fsigma8
8.618349939240268,1.0,1.0,0.811
8.574018140361153,1.0,1.0,0.811
8.529890670540997,1.0,1.0,0.811
8.48596658800967,1.0,1.0,0.811
8.44224495533773,1.0,1.0,0.811
8.398724839416426,1.0,1.0,0.811
8.3554053114378,1.0,1.0,0.811
8.312285446874832,1.0,1.0,0.811
8.269364325461734,1.0,1.0,0.811
8.226641031174308,1.0,1.0,0.811
8.184114652210381,1.0,1.0,0.811
8.14178428097035,1.0,1.0,0.811
8.099649014037837,1.0,1.0,0.811
8.057707952160364,1.0,1.0,0.811
8.015960200230195,1.0,1.0,0.811
7.974404867265227,1.0,1.0,0.811
7.933041066389963,1.0,1.0,0.811
7.8918679148165864,1.0,1.0,0.811
7.850884533826143,1.0,1.0,0.811
7.8100900487497515,1.0,1.0,0.811
7.769483588949964,1.0,1.0,0.811
7.729064287802165,1.0,1.0,0.811
7.688831282676103,1.0,1.0,0.811
7.648783714917451,1.0,1.0,0.811
7.6089207298294905,1.0,1.0,0.811
7.569241476654888,1.0,1.0,0.811
7.52974510855751,1.0,1.0,0.811
7.4904307826043635,1.0,1.0,0.811
7.451297659747619,1.0,1.0,0.811
7.412344904806675,1.0,1.0,0.811
7.373571686450354,1.0,1.0,0.811
7.334977177179164,1.0,1.0,0.811
7.296560553307616,1.0,1.0,0.811
7.258320994946661,1.0,1.0,0.811
7.220257685986201,1.0,1.0,0.811
7.18236981407764,1.0,1.0,0.811
7.144656570616579,1.0,1.0,0.811
7.107117150725546,1.0,1.0,0.811
7.0697507532368125,1.0,1.0,0.811
7.032556580675301,1.0,1.0,0.811
6.995533839241573,1.0,1.0,0.811
6.958681738794872,1.0,1.0,0.811
6.921999492836264,1.0,1.0,0.811
6.885486318491871,1.0,1.0,0.811
6.849141436496135,1.0,1.0,0.811
6.812964071175198,1.0,1.0,0.811
6.776953450430363,1.0,1.0,0.811
6.74110880572159,1.0,1.0,0.811
6.705429372051107,1.0,1.0,0.811
6.66991438794709,1.0,1.0,0.811
6.634563095447397,1.0,1.0,0.811
6.599374740083397,1.0,1.0,0.811
6.564348570863873,1.0,1.0,0.811
6.529483840258996,1.0,1.0,0.811
6.494779804184356,1.0,1.0,0.811
6.460235721985094,1.0,1.0,0.811
6.425850856420102,1.0,1.0,0.811
6.391624473646268,1.0,1.0,0.811
6.357555843202829,1.0,1.0,0.811
6.323644237995784,1.0,1.0,0.811
6.289888934282364,1.0,1.0,0.811
6.25628921165559,1.0,1.0,0.811
6.222844353028912,1.0,1.0,0.811
6.189553644620884,1.0,1.0,0.811
6.156416375939938,1.0,1.0,0.811
6.123431839769233,1.0,1.0,0.811
6.090599332151542,1.0,1.0,0.811
6.057918152374235,1.0,1.0,0.811
6.02538760295434,1.0,1.0,0.811
5.99300698962363,1.0,1.0,0.811
5.9607756213138225,1.0,1.0,0.811
5.928692810141837,1.0,1.0,0.811
5.896757871395095,1.0,1.0,0.811
5.864970123516915,1.0,1.0,0.811
5.833328888091984,1.0,1.0,0.811
5.801833489831847,1.0,1.0,0.811
5.7704832565605155,1.0,1.0,0.811
5.739277519200126,1.0,1.0,0.811
5.708215611756643,1.0,1.0,0.811
5.677296871305656,1.0,1.0,0.811
5.64652063797823,1.0,1.0,0.811
5.61588625494683,1.0,1.0,0.811
5.585393068411285,1.0,1.0,0.811
5.5550404275848475,1.0,1.0,0.811
5.524827684680308,1.0,1.0,0.811
5.494754194896158,1.0,1.0,0.811
5.464819316402831,1.0,1.0,0.811
5.4350224103290214,1.0,1.0,0.811
5.405362840748022,1.0,1.0,0.811
5.375839974664169,1.0,1.0,0.811
5.3464531819993395,1.0,1.0,0.811
5.317201835579485,1.0,1.0,0.811
5.288085311121254,1.0,1.0,0.811
5.259102987218682,1.0,1.0,0.811
5.23025424532991,1.0,1.0,0.811
5.201538469763985,1.0,1.0,0.811
5.1729550476677435,1.0,1.0,0.811
5.144503369012701,1.0,1.0,0.811
5.116182826582046,1.0,1.0,0.811
5.087992815957692,1.0,1.0,0.811
5.059932735507361,1.0,1.0,0.811
5.032001986371744,1.0,1.0,0.811
5.004199972451737,1.0,1.0,0.811
4.976526100395701,1.0,1.0,0.811
4.9489797795868045,1.0,1.0,0.811
4.921560422130427,1.0,1.0,0.811
4.894267442841596,1.0,1.0,0.811
4.867100259232509,1.0,1.0,0.811
4.840058291500107,1.0,1.0,0.811
4.813140962513682,1.0,1.0,0.811
4.786347697802578,1.0,1.0,0.811
4.759677925543918,1.0,1.0,0.811
4.733131076550413,1.0,1.0,0.811
4.706706584258204,1.0,1.0,0.811
4.680403884714766,1.0,1.0,0.811
4.654222416566894,1.0,1.0,0.811
4.628161621048695,1.0,1.0,0.811
4.602220941969678,1.0,1.0,0.811
4.576399825702892,1.0,1.0,0.811
4.550697721173088,1.0,1.0,0.811
4.525114079844972,1.0,1.0,0.811
4.499648355711504,1.0,1.0,0.811
4.474300005282229,1.0,1.0,0.811
4.4490684875716875,1.0,1.0,0.811
4.423953264087873,1.0,1.0,0.811
4.398953798820731,1.0,1.0,0.811
4.37406955823072,1.0,1.0,0.811
4.349300011237437,1.0,1.0,0.811
4.324644629208266,1.0,1.0,0.811
4.300102885947105,1.0,1.0,0.811
4.275674257683141,1.0,1.0,0.811
4.251358223059659,1.0,1.0,0.811
4.227154263122922,1.0,1.0,0.811
4.203061861311102,1.0,1.0,0.811
4.1790805034432426,1.0,1.0,0.811
4.155209677708288,1.0,1.0,0.811
4.1314488746541755,1.0,1.0,0.811
4.10779758717694,1.0,1.0,0.811
4.084255310509902,1.0,1.0,0.811
4.060821542212905,1.0,1.0,0.811
4.037495782161572,1.0,1.0,0.811
4.014277532536646,1.0,1.0,0.811
3.9911662978133586,1.0,1.0,0.811
3.968161584750865,1.0,1.0,0.811
3.9452629023817023,1.0,1.0,0.811
3.9224697620013194,1.0,1.0,0.811
3.8997816771576517,1.0,1.0,0.811
3.8771981636407293,1.0,1.0,0.811
3.8547187394723466,1.0,1.0,0.811
3.832342924895781,1.0,1.0,0.811
3.8100702423655477,1.0,1.0,0.811
3.7879002165372064,1.0,1.0,0.811
3.7658323742572275,1.0,1.0,0.811
3.7438662445528816,1.0,1.0,0.811
3.7220013586221903,1.0,1.0,0.811
3.7002372498239327,1.0,1.0,0.811
3.678573453667668,1.0,1.0,0.811
3.657009507803835,1.0,1.0,0.811
3.635544952013886,1.0,1.0,0.811
3.6141793282004517,1.0,1.0,0.811
3.592912180377576,1.0,1.0,0.811
3.5717430546609856,1.0,1.0,0.811
3.550671499258394,1.0,1.0,0.811
3.529697064459862,1.0,1.0,0.811
3.5088193026282095,1.0,1.0,0.811
3.4880377681894474,1.0,1.0,0.811
3.467352017623277,1.0,1.0,0.811
3.4467616094536275,1.0,1.0,0.811
3.4262661042392235,1.0,1.0,0.811
3.405865064564213,1.0,1.0,0.811
3.385558055028831,1.0,1.0,0.811
3.365344642240111,1.0,1.0,0.811
3.345224394802629,1.0,1.0,0.811
3.325196883309297,1.0,1.0,0.811
3.3052616803322064,1.0,1.0,0.811
3.2854183604134963,1.0,1.0,0.811
3.2656665000562786,1.0,1.0,0.811
3.2460056777156003,1.0,1.0,0.811
3.2264354737894445,1.0,1.0,0.811
3.2069554706097714,1.0,1.0,0.811
3.187565252433618,1.0,1.0,0.811
3.1682644054342086,1.0,1.0,0.811
3.149052517692132,1.0,1.0,0.811
3.1299291791865524,1.0,1.0,0.811
3.110893981786452,1.0,1.0,0.811
3.0919465192419215,1.0,1.0,0.811
3.0730863871755005,1.0,1.0,0.811
