z,E,Omega_m,Omega_Lambda,Qtilde
1.062124248496994,1.6401843344301057,1.698727430145461,0.9898497926060208,-0.2905682796601956
1.0721442885771542,1.6477563465991745,1.721010958763174,0.992430728283252,-0.2929848156815046
1.0821643286573146,1.6553554919691411,1.7435015434398191,0.9950086424974016,-0.2954129652182559
1.0921843687374748,1.6629817097296624,1.7662002125106575,0.9975835372813724,-0.2978527473229829
1.1022044088176353,1.67063493889096,1.789107994231772,1.0001554148199894,-0.3003041808541391
1.1122244488977957,1.6783151182716751,1.8122259167049155,1.002724277437708,-0.3027672844683377
1.122244488977956,1.686022186471188,1.835555007753544,1.0052901275815689,-0.3052420766076993
1.132264529058116,1.693756081955321,1.8590962951422187,1.0078529678422177,-0.3077285755237587
1.1422845691382766,1.7015167430284626,1.882850806455309,1.010412800936991,-0.310226799265096
1.1523046092184368,1.7093041078214437,1.906819569021226,1.0129696296986923,-0.3127367656701055
1.1623246492985972,1.717118114371354,1.9310036101208008,1.01552345709476,-0.3152584923895579
1.1723446893787577,1.724958700584536,1.9554039568385404,1.018074286208007,-0.317791996871679
1.1823647294589177,1.7328258042351066,1.980021636021404,1.0206221202294392,-0.3203372963587546
1.192384769539078,1.740719363038987,2.0048576744757383,1.0231669624756556,-0.3228944079083325
1.2024048096192383,1.748639314612643,2.029913098805387,1.0257088163688666,-0.3254633483772683
1.2124248496993988,1.7565855964764432,2.0551889353878017,1.0282476854317608,-0.3280441344202809
1.222444889779559,1.7645581461248985,2.080686210565062,1.0307835733038169,-0.3306367825103885
1.2324649298597194,1.7725569009848705,2.1064059504802937,1.0333164837218012,-0.3332413089230941
1.2424849699398797,1.780581798417906,2.132349181052782,1.0358464205147375,-0.335857729734962
1.25250501002004,1.7886327757892566,2.1585169281707834,1.038373387619983,-0.3384860608440854
1.2625250501002003,1.7967097704288766,2.184910217536978,1.0408973890652091,-0.3411263179554639
1.2725450901803608,1.804812719627101,2.2115300746240947,1.0434184289616977,-0.3437785165777295
1.282565130260521,1.812941560704668,2.2383775248764595,1.0459365115208714,-0.3464426720443389
1.2925851703406812,1.821096230980052,2.26545359357649,1.0484516410388127,-0.3491187995012847
1.3026052104208417,1.8292766677533696,2.292759305763144,1.0509638218863169,-0.3518069139002501
1.312625250501002,1.8374828083784855,2.3202956864457405,1.0534730585262058,-0.3545070300208526
1.3226452905811623,1.8457145902406555,2.3480637605054038,1.055979355501515,-0.3572191624619868
1.3326653306613223,1.853971950724936,2.376064552562616,1.0584827174212343,-0.3599433256301277
1.342685370741483,1.862254827289344,2.4042990871998478,1.0609831489780657,-0.3626795337622651
1.3527054108216432,1.87056315745671,2.432768388912225,1.0634806549413554,-0.3654278009221668
1.3627254509018036,1.878896878767314,2.4614734819216264,1.0659752401385258,-0.3681881409836762
1.372745490981964,1.8872559288484512,2.4904153903921813,1.0684669094718544,-0.3709605676527779
1.3827655310621243,1.895640245423112,2.519595138440447,1.0709556679168224,-0.3737450944696594
1.3927855711422843,1.9040497662533016,2.54901374991692,1.0734415205012393,-0.3765417347890878
1.4028056112224447,1.912484429195276,2.5786722485765567,1.0759244723178634,-0.3793505017980079
1.4128256513026052,1.920944172227072,2.6085716581569502,1.0784045285286388,-0.3821714085240913
1.4228456913827654,1.929428933394576,2.638713002168919,1.0808816943450992,-0.3850044678171722
1.4328657314629258,1.937938650838109,2.6690973039699264,1.083355975032703,-0.387849692357548
1.442885771543086,1.9464732628396504,2.6997255869147763,1.0858273759210753,-0.390707094671314
1.4529058116232465,1.9550327077845195,2.7305988742016902,1.0882959023893868,-0.3935766871171594
1.4629258517034067,1.963616924149384,2.76171818881006,1.0907615598596894,-0.3964584818819511
1.4729458917835672,1.9722258505647745,2.793084553709491,1.0932243538117583,-0.3993524910014094
1.4829659318637274,1.9808594258015428,2.82469899179613,1.0956842897759584,-0.4022587263553578
1.4929859719438878,1.9895175887242875,2.856562525705493,1.0981413733169512,-0.4051771996518284
1.503006012024048,1.9982002783542947,2.888676178026922,1.1005956100487713,-0.408107922448091
1.5130260521042085,2.006907433881792,2.9210409713358843,1.1030470056353223,-0.4110509061547384
1.5230460921843687,2.01563899461159,2.953657927977878,1.105495565772224,-0.4140061620172666
1.533066132264529,2.024394899995058,2.986528070171776,1.1079412961932311,-0.4169737011268367
1.5430861723446894,2.0331750896697223,3.019652420145709,1.1103842026786614,-0.4199535344337519
1.5531062124248496,2.041979503425061,3.0530319999965068,1.1128242910432111,-0.4229456727359582
1.56312625250501,2.050808081182318,3.086667831599012,1.1152615671279609,-0.4259501266722603
1.5731462925851702,2.059660763054629,3.1205609368220046,1.1176960368146822,-0.4289669067429149
1.583166332665331,2.068537489343458,3.1547123375049178,1.120127706022403,-0.4319960233086584
1.593186372745491,2.0774382004849272,3.1891230552397656,1.1225565806904172,-0.4350374865726074
1.6032064128256511,2.086362837097257,3.2237941115415305,1.1249826667891931,-0.4380913065966776
1.6132264529058116,2.095311340006676,3.258726527939637,1.127405970325241,-0.4411574933107772
1.6232464929859718,2.1042836502081665,3.293921325815823,1.1298264973283196,-0.444236056499706
1.6332665330661322,2.113279708855384,3.329379526353135,1.1322442538468058,-0.4473270058000061
1.6432865731462925,2.122299457315263,3.3651021507411425,1.134659245960513,-0.4504303507190924
1.653306613226453,2.131342837162253,3.40109022014627,1.137071479777152,-0.4535461006337303
1.6633266533066131,2.1404097901257115,3.437344755493561,1.1394809614164552,-0.4566742647723386
1.6733466933867736,2.1495002581347142,3.473866777635501,1.141887697020466,-0.4598148522308597
1.6833667334669338,2.15861418334325,3.510657307446667,1.14429169275846,-0.462967871981985
1.6933867735470942,2.1677515080971537,3.5477173656840835,1.1466929548164708,-0.4661333328642564
1.7034068136272544,2.1769121749128257,3.5850479728921854,1.1490914893901605,-0.4693112435751874
1.7134268537074149,2.1860961265322776,3.622650149619236,1.151487302697784,-0.4725016126908907
1.723446893787575,2.195303305924359,3.66052491641797,1.153880400978903,-0.4757044486671302
1.733466933867735,2.2045336562341173,3.698673293631285,1.1562707904797265,-0.4789197598223028
1.7434869739478958,2.213787120807743,3.7370963014873406,1.1586584774582942,-0.4821475543466904
1.753507014028056,2.2230636432279405,3.775794960241401,1.1610434681922517,-0.4853878403154425
1.7635270541082164,2.232363167297457,3.814770290103773,1.163425768973202,-0.4886406256835187
1.7735470941883766,2.241685636994125,3.854023311045549,1.165805386093928,-0.4919059182706029
1.783567134268537,2.251030996522148,3.893555043008049,1.168182325860394,-0.4951837257797061
1.7935871743486973,2.2603991903266505,3.933366505961665,1.1705565945941954,-0.4984740558030041
1.8036072144288575,2.269790163060066,3.9734587197601305,1.1729281986228215,-0.5017769158107707
1.813627254509018,2.2792038595637845,4.013832704056724,1.1752971442739826,-0.505092313145604
1.8236472945891784,2.2886402249190243,4.054489478517914,1.177663437887433,-0.5084202550410556
1.8336673346693384,2.298099204448856,4.095430062830952,1.1800270858143689,-0.5117607486231455
1.8436873747494988,2.3075807436727875,4.136655476504708,1.18238809440503,-0.5151138008950893
1.8537074148296595,2.317084788317034,4.178166738909521,1.1847464700104104,-0.5184794187416494
1.8637274549098195,2.3266112843538296,4.219964869446423,1.1871022189911289,-0.5218576089438394
1.87374749498998,2.336160177995416,4.262050887520571,1.1894553477149634,-0.5252483781776316
1.88376753507014,2.345731415644727,4.304425812321693,1.1918058625438204,-0.5286517329972353
1.8937875751503008,2.3553249439263246,4.34709066295713,1.1941537698406297,-0.5320676798468554
1.9038076152304608,2.364940709713445,4.39004645857132,1.1964990759751697,-0.5354962250711551
1.9138276553106213,2.3745786601158616,4.433294218292184,1.19884178732026,-0.5389373749117975
1.9238476953907813,2.384238742432925,4.476834961018581,1.2011819102396168,-0.5423911354914888
1.9338677354709417,2.3939209041956038,4.520669705606903,1.2035194510974512,-0.5458575128297967
1.943887775551102,2.4036250931845093,4.564799470953275,1.2058544162621208,-0.549336512850478
1.9539078156312624,2.413351257413193,4.609225275918783,1.208186812101385,-0.552828141376376
1.9639278557114228,2.423099345086108,4.653948139136208,1.2105166449717175,-0.5563324041151565
1.973947895791583,2.4328693046446968,4.698969079219524,1.2128439212288398,-0.5598493066766875
1.9839679358717437,2.44266108478012,4.744289114824226,1.2151686472301442,-0.5633788545785224
1.993987975951904,2.4524746344140325,4.789909264560169,1.2174908293295117,-0.5669210532398694
2.004008016032064,2.462309902660427,4.835830546813511,1.2198104738677822,-0.5704759079686587
2.0140280561122244,2.472166838872209,4.882053979963137,1.2221275871833517,-0.574043423979208
2.024048096192385,2.48204539265144,4.928580582431153,1.2244421756140556,-0.5776236063968446
2.034068136272545,2.4919455138300504,4.975411372594536,1.2267542454921296,-0.5812164602518255
2.044088176352705,2.5018671524325398,5.022547368608668,1.229063803135088,-0.5848219904666503
2.0541082164328657,2.511810258721682,5.069989588624145,1.2313708548560538,-0.5884402018735133
2.064128256513026,2.52177478320809,5.117739050836436,1.2336754069655895,-0.5920710992187286
2.074148296593186,2.5317606766340672,5.165796773407909,1.2359774657673417,-0.5957146871576627
2.0841683366733466,2.5417678899329044,5.214163774278344,1.2382770375485894,-0.599370970240896
2.094188376753507,2.5517963742733745,5.262841071376361,1.2405741285900602,-0.6030399529312179
2.1042084168336674,2.56184608107066,5.311829682676963,1.2428687451681215,-0.6067216396085727
2.1142284569138274,2.571916961973584,5.361130626143218,1.2451608935515015,-0.610416034566305
2.124248496993988,2.5820089688215337,5.4107449195168575,1.2474505799912048,-0.6141231419962209
2.1342685370741483,2.592122053683414,5.460673580510369,1.2497378107291863,-0.617842966003738
2.1442885771543083,2.602256168872474,5.510917626884033,1.2520225920014316,-0.6215755106142512
2.1543086172344688,2.6124112669383246,5.561478076410922,1.2543049300358573,-0.6253207797711186
2.164328657314629,2.6225873006223144,5.6123559466571376,1.25658483104205,-0.6290787773200744
2.1743486973947896,2.6327842228859644,5.663552255124926,1.2588623012175253,-0.6328495070205621
2.1843687374749496,2.643001986932606,5.715068019365145,1.2611373467523723,-0.6366329725546344
2.19438877755511,2.653240546203532,5.766904256963072,1.2634099738281557,-0.6404291775264519
2.2044088176352705,2.663499854337228,5.819061985335395,1.2656801886086686,-0.6442381254480424
2.214428857715431,2.673779865179341,5.871542221782321,1.2679479972420715,-0.6480598197438303
2.224448897795591,2.684080532813834,5.924345983650172,1.2702134058676555,-0.6518942637630925
2.2344689378757514,2.69440181156216,5.977474288332803,1.2724764206154735,-0.6557414607805638
2.244488977955912,2.704743655953216,6.030928153121449,1.274737047599598,-0.6596014139861267
2.254509018036072,2.715106020708416,6.084708595129645,1.2769952929147994,-0.6634741264800572
2.2645290581162323,2.725488860781648,6.138816631503674,1.279251162645231,-0.6673596012888067
2.2745490981963927,2.7358921313617386,6.193253279441256,1.2815046628648317,-0.671257841366821
2.284569138276553,2.746315787857092,6.24801955611671,1.2837557996338786,-0.6751688495916762
2.294589178356713,2.756759785858373,6.303116478487934,1.2860045789908756,-0.6790926287509005
2.3046092184368736,2.7672240811776088,6.358545063505283,1.2882510069610102,-0.6830291815574769
2.314629258517034,2.777708629858449,6.41430632817159,1.290495089558291,-0.6869785106545816
2.3246492985971945,2.7882133881711635,6.470401289521829,1.292736832784388,-0.6909406186145818
2.3346693386773545,2.7987383125721386,6.526830964411173,1.2949762426199471,-0.694915507924596
2.344689378757515,2.809283359719285,6.583596369600179,1.2972133250279274,-0.6989031809931003
2.354709418837676,2.8198484864981923,6.640698521900471,1.2994480859591635,-0.7029036401606598
2.364729458917836,2.830433650021132,6.6981384381760565,1.3016805313521065,-0.7069168877004224
2.374749498997996,2.8410388076027724,6.755917135217215,1.3039106671276697,-0.7109429258097559
2.3847695390781563,2.8516639167377584,6.814035629621634,1.3061384991845628,-0.7149817566025207
2.3947895791583167,2.862308935139997,6.8724949380130855,1.3083640334076234,-0.7190333821247942
2.4048096192384767,2.872973820746592,6.931296077069643,1.310587275668633,-0.723097804357218
2.414829659318637,2.883658531710992,6.990440063492665,1.3128082318248804,-0.7271750252132331
2.4248496993987976,2.8943630263625875,7.049927913787699,1.3150269077107946,-0.7312650465244535
2.434869739478958,2.905087263229523,7.10976064439449,1.3172433091427995,-0.7353678700501373
2.444889779559118,2.915831201059196,7.1699392718071016,1.3194574419236165,-0.7394834974858403
2.4549098196392785,2.9265947988169576,7.230464812573796,1.3216693118420124,-0.7436119304637488
2.464929859719439,2.9373780156631466,7.291338283174078,1.3238789246681113,-0.7477531705446769
2.474949899799599,2.9481808109304226,7.352560699894519,1.3260862861488545,-0.751907219210109
2.48496993987976,2.959003144161677,7.414133079047872,1.3282914020158902,-0.7560740778775287
