n,beta,viable,z_t,Qtilde_max_z0_5
0.125,2.1544346900318822e-06,True,0.9610479940293968,-0.06773484193818058
0.125,4.641588833612782e-06,True,0.961042084793233,-0.06773443745632617
0.125,9.999999999999999e-06,True,0.961029354135035,-0.0677335660334243
0.125,2.1544346900318823e-05,True,0.9610019286438876,-0.06773168864142781
0.125,4.641588833612772e-05,True,0.9609428509410588,-0.06772764407026897
0.125,0.0001,True,0.9608156123759433,-0.06771893098943377
0.125,0.00021544346900318823,True,0.9605416729383697,-0.0677001623980877
0.125,0.00046415888336127773,True,0.9599523578891987,-0.06765974141199803
0.125,0.001,True,0.9586867350297517,-0.06757272529172166
0.125,0.002154434690031882,True,0.9559785016928967,-0.06738557093931521
0.125,0.004641588833612777,True,0.9502277403032089,0.41533537335381365
0.125,0.01,True,0.938383889065569,1.2599044537740163
0.125,0.021544346900318822,True,0.9147281367231737,1.8190084129374169
0.125,0.046415888336127725,True,0.8709901146393618,1.7208241798663197
0.125,0.1,True,0.7997009660858772,1.2103748220141544
0.15000000000000002,1e-06,True,1.0363728344471945,-0.07777021452064763
0.15000000000000002,2.1544346900318822e-06,True,1.036369671755805,-0.07777003488776334
0.15000000000000002,4.641588833612782e-06,True,1.0363628580511481,-0.07776964788185534
0.15000000000000002,9.999999999999999e-06,True,1.03634817886788,-0.07776881410944325
0.15000000000000002,2.1544346900318823e-05,True,1.0363165558393779,-0.07776701783159701
0.15000000000000002,4.641588833612772e-05,True,1.036248436824106,-0.07776314800921372
0.15000000000000002,0.0001,True,1.0361017286547616,-0.07775481138366824
0.15000000000000002,0.00021544346900318823,True,1.0357858863965377,-0.07773685370359754
0.15000000000000002,0.00046415888336127773,True,1.0351064942688757,-0.0776981791369795
0.15000000000000002,0.001,True,1.0336477280455372,-0.07761492261441458
0.15000000000000002,0.002154434690031882,True,1.030527603050258,-0.07743585440826195
0.15000000000000002,0.004641588833612777,True,1.0239085089844329,0.1605250690558352
0.15000000000000002,0.01,True,1.0102030164167968,1.1126062730615898
0.15000000000000002,0.021544346900318822,True,0.9830623056660119,1.8262228405929868
0.15000000000000002,0.046415888336127725,True,0.9332790163704182,1.836017927048945
0.15000000000000002,0.1,True,0.8531455061766442,1.3273666140890625
0.175,1e-06,True,1.1194445116807832,-0.0869741581679465
0.175,2.1544346900318822e-06,True,1.119440780549118,-0.08697398597479826
0.175,4.641588833612782e-06,True,1.119432742205515,-0.0869736149972573
0.175,9.999999999999999e-06,True,1.119415424749996,-0.08697281575664427
0.175,2.1544346900318823e-05,True,1.119378118350536,-0.08697109387404633
0.175,4.641588833612772e-05,True,1.1192977577341354,-0.0869673843255303
0.175,0.0001,True,1.11912468905597,-0.08695939297247637
0.175,0.00021544346900318823,True,1.1187521160793261,-0.08694217903373203
0.175,0.00046415888336127773,True,1.1179507848294608,-0.0869051062259915
0.175,0.001,True,1.1162306155712032,-0.08682529788360775
0.175,0.002154434690031882,True,1.1125737354104606,-0.08665364602659524
0.175,0.004641588833612777,True,1.1049276415425957,-0.08628517379511888
0.175,0.01,True,1.0890165065760335,0.9098211595479427
0.175,0.021544346900318822,True,1.0577573297130967,1.79137250991328
0.175,0.046415888336127725,True,1.000931864767539,1.9369545138217694
0.175,0.1,True,0.9106583570558017,1.4541931424826324
0.2,1e-06,True,1.2113802657502808,-0.09544603411722809
0.2,2.1544346900318822e-06,True,1.2113759293543385,-0.09544586877207059
0.2,4.641588833612782e-06,True,1.211366587042347,-0.09544551254802469
0.2,9.999999999999999e-06,True,1.2113464604296758,-0.09544474509260387
0.2,2.1544346900318823e-05,True,1.2113031026159935,-0.09544309168796919
0.2,4.641588833612772e-05,True,1.2112097080165423,-0.09543952966538047
0.2,0.0001,True,1.211008574214137,-0.09543185612236851
0.2,0.00021544346900318823,True,1.2105756097126235,-0.0954153267688951
0.2,0.00046415888336127773,True,1.2096445063768735,-0.09537972831856384
0.2,0.001,True,1.2076463072465762,-0.09530309389334701
0.2,0.002154434690031882,True,1.2033770979468568,-0.09513826850032861
0.2,0.004641588833612777,True,1.1943412115748926,-0.09478445012966544
0.2,0.01,True,1.1759175048975423,0.6470980531878323
0.2,0.021544346900318822,True,1.1396451861113441,1.7058164451253095
