z,E,H_km_s_Mpc,Omega_m,Omega_Lambda,Omega_r,Qtilde,w_eff,q,D_L_Mpc
0.00013410875375170498,1.000060375510809,70.00422628575663,0.30008231180624184,0.6999483945717143,9.004828886420415e-05,-0.09544951366760823,-0.8636417313868172,-0.5497508054043885,0.5744138707766376
0.00013465651318108815,1.0000606221209187,70.00424354846432,0.300082648039411,0.6999485513913307,9.004848613710753e-05,-0.09544958579212427,-0.8636416925260676,-0.5497505227797981,0.5767602756998281
0.00013520650990210296,1.000060869738374,70.00426088168618,0.3000829856461953,0.6999487088514615,9.004868421608674e-05,-0.09544965821125584,-0.8636416535066165,-0.5497502390008164,0.5791162663814109
0.00013575875305283703,1.0000611183672903,70.00427828571031,0.3000833246322076,0.6999488669547231,9.004888310443688e-05,-0.09544973092620655,-0.8636416143278159,-0.5497499540627286,0.5814818819902581
0.00013631325180870268,1.0000613680117991,70.00429576082594,0.3000836650030837,0.6999490257037418,9.004908280546639e-05,-0.0954498039381848,-0.8636415749890152,-0.5497496679607994,0.5838571618553616
0.00013687001538258793,1.0000616186760498,70.00431330732349,0.3000840067644824,0.6999491851011558,9.004928332249741e-05,-0.09544987724840408,-0.8636415354895612,-0.5497493806902755,0.5862421454664833
0.000137429053025011,1.0000618703642077,70.00433092549454,0.30008434992208555,0.6999493451496129,9.004948465886552e-05,-0.09544995085808276,-0.8636414958287977,-0.5497490922463835,0.5886368724748177
0.0001379903740242727,1.0000621230804556,70.0043486156319,0.3000846944815984,0.6999495058517723,9.004968681792005e-05,-0.09545002476844414,-0.8636414560060661,-0.5497488026243303,0.5910413826936467
0.00013855398770661195,1.0000623768289938,70.00436637802956,0.3000850404487495,0.6999496672103039,9.0049889803024e-05,-0.09545009898071664,-0.8636414160207051,-0.5497485118193041,0.5934557160990094
0.00013911990343635954,1.0000626316140389,70.00438421298271,0.3000853878292907,0.6999498292278887,9.005009361755415e-05,-0.0954501734961336,-0.8636413758720507,-0.5497482198264724,0.5958799128303613
0.00013968813061609493,1.0000628874398254,70.00440212078777,0.30008573662899735,0.6999499919072185,9.005029826490097e-05,-0.09545024831593343,-0.8636413355594359,-0.5497479266409838,0.5983140131912488
0.00014025867868680146,1.0000631443106045,70.00442010174231,0.3000860868536686,0.699950155250996,9.005050374846893e-05,-0.0954503234413596,-0.8636412950821916,-0.5497476322579664,0.6007580576499759
0.00014083155712802357,1.0000634022306454,70.00443815614517,0.30008643850912714,0.6999503192619349,9.005071007167653e-05,-0.09545039887366065,-0.8636412544396451,-0.5497473366725288,0.603212086840281
0.00014140677545802487,1.0000636612042346,70.00445628429642,0.3000867916012196,0.6999504839427606,9.005091723795594e-05,-0.0954504746140903,-0.8636412136311218,-0.5497470398797597,0.6056761415620141
0.00014198434323394504,1.0000639212356757,70.0044744864973,0.30008714613581633,0.6999506492962086,9.005112525075373e-05,-0.09545055066390724,-0.8636411726559439,-0.5497467418747275,0.6081502627818135
0.0001425642700519601,1.0000641823292902,70.00449276305031,0.30008750211881174,0.6999508153250267,9.005133411353023e-05,-0.09545062702437541,-0.8636411315134309,-0.5497464426524804,0.6106344916337924
0.00014314656554744034,1.0000644444894176,70.00451111425923,0.30008785955612444,0.6999509820319729,9.005154382976026e-05,-0.09545070369676398,-0.8636410902028995,-0.5497461422080471,0.6131288694202194
0.00014373123939511188,1.0000647077204141,70.00452954042899,0.3000882184536972,0.699951149419817,9.005175440293256e-05,-0.09545078068234708,-0.8636410487236637,-0.5497458405364344,0.6156334376122119
0.00014431830130921604,1.0000649720266548,70.00454804186583,0.300088578817497,0.6999513174913404,9.00519658365504e-05,-0.09545085798240428,-0.8636410070750347,-0.5497455376326301,0.6181482378504211
0.00014490776104367204,1.0000652374125323,70.00456661887726,0.3000889406535153,0.6999514862493349,9.005217813413111e-05,-0.09545093559822027,-0.8636409652563206,-0.5497452334916018,0.6206733119457316
0.00014549962839223776,1.0000655038824569,70.00458527177199,0.30008930396776795,0.6999516556966049,9.005239129920677e-05,-0.095451013531085,-0.8636409232668272,-0.5497449281082951,0.6232087018799528
0.00014609391318867374,1.000065771440857,70.00460400085998,0.3000896687662956,0.6999518258359653,9.005260533532353e-05,-0.09545109178229368,-0.863640881105857,-0.5497446214776358,0.6257544498065222
0.0001466906253069055,1.000066040092179,70.00462280645253,0.3000900350551633,0.6999519966702427,9.005282024604223e-05,-0.09545117035314679,-0.86364083877271,-0.549744313594529,0.6283105980512046
0.00014728977466118803,1.0000663098408882,70.00464168886218,0.3000904028404611,0.6999521682022756,9.00530360349384e-05,-0.09545124924495021,-0.863640796266683,-0.5497440044538591,0.630877189112799
0.000147891371206271,1.0000665806914675,70.00466064840272,0.30009077212830404,0.6999523404349139,9.005325270560194e-05,-0.09545132845901516,-0.8636407535870703,-0.5497436940504892,0.6334542656638475
0.000148495424937563,1.000066852648418,70.00467968538926,0.30009114292483186,0.6999525133710192,9.005347026163764e-05,-0.0954514079966581,-0.8636407107331628,-0.5497433823792617,0.6360418705513431
0.00014910194589129902,1.0000671257162597,70.00469880013817,0.3000915152362096,0.6999526870134647,9.005368870666495e-05,-0.09545148785920095,-0.8636406677042492,-0.549743069434998,0.6386400467974475
0.0001497109441447057,1.00006739989953,70.0047179929671,0.3000918890686275,0.6999528613651348,9.005390804431818e-05,-0.09545156804797092,-0.8636406244996147,-0.5497427552124973,0.6412488376002035
